Aceleracion_Zx10;Aceleración_Z
9892841;9,892841
9844957;9,844957
9895236;9,895236
9821015;9,821015
9892841;9,892841
9840169;9,840169
9892841;9,892841
9854534;9,854534
9866506;9,866506
9849746;9,849746
9911995;9,911995
9813833;9,813833
9840169;9,840169
9868899;9,868899
9878476;9,878476
9928755;9,928755
9883265;9,883265
9921572;9,921572
9871294;9,871294
9880871;9,880871
9856929;9,856929
9868899;9,868899
9811439;9,811439
9947908;9,947908
9842564;9,842564
9902418;9,902418
9900024;9,900024
9828198;9,828198
9904813;9,904813
9890448;9,890448
978989;0,978989
9409213;9,409213
9883265;9,883265
1029507;1,029507
1024958;1,024958
9186552;9,186552
1821988;1,821988
163093;0,163093
1028549;1,028549
9478644;9,478644
1080743;1,080743
926556;0,926556
9414001;9,414001
1008438;1,008438
9797073;9,797073
9169792;9,169792
9938332;9,938332
9959879;9,959879
9701305;9,701305
9938332;9,938332
1290714;1,290714
7912837;7,912837
6663064;6,663064
1042196;1,042196
9375694;9,375694
7788338;7,788338
862152;0,862152
9624691;9,624691
1028788;1,028788
110253;0,110253
9840169;9,840169
1092235;1,092235
1150893;1,150893
9696517;9,696517
9289502;9,289502
8987833;8,987833
1066856;1,066856
9085996;9,085996
9028535;9,028535
9677363;9,677363
9387665;9,387665
967018;0,967018
1000058;1,000058
1042675;1,042675
1034774;1,034774
8714894;8,714894
1029507;1,029507
9411607;9,411607
9619903;9,619903
1005804;1,005804
1018254;1,018254
104483;0,104483
1037887;1,037887
9488221;9,488221
1047463;1,047463
9629479;9,629479
1025197;1,025197
1119768;1,119768
1029986;1,029986
1008677;1,008677
101993;0,101993
1038605;1,038605
9088389;9,088389
7524976;7,524976
8714894;8,714894
1016339;1,016339
11315;0,011315
1071166;1,071166
9416395;9,416395
8892065;8,892065
1138682;1,138682
1105642;1,105642
9222465;9,222465
842759;0,842759
9356541;9,356541
109032;0,109032
1086489;1,086489
9662998;9,662998
8990228;8,990228
9358934;9,358934
1018972;1,018972
1050097;1,050097
1008677;1,008677
9600749;9,600749
9617508;9,617508
982341;0,982341
1008438;1,008438
9976639;9,976639
9883265;9,883265
980665;0,980665
9859323;9,859323
9835381;9,835381
9873688;9,873688
9952697;9,952697
994312;0,994312
9856929;9,856929
9804255;9,804255
9902418;9,902418
9892841;9,892841
9938332;9,938332
9955091;9,955091
9856929;9,856929
9864111;9,864111
9907207;9,907207
9895236;9,895236
9792285;9,792285
9825804;9,825804
9928755;9,928755
9861717;9,861717
9856929;9,856929
9868899;9,868899
989763;0,989763
9988609;9,988609
9916783;9,916783
9902418;9,902418
9797073;9,797073
9931149;9,931149
9873688;9,873688
9883265;9,883265
9888053;9,888053
9813833;9,813833
9847352;9,847352
9933543;9,933543
9911995;9,911995
9782708;9,782708
985214;0,985214
9931149;9,931149
9938332;9,938332
989763;0,989763
9818622;9,818622
9911995;9,911995
9962274;9,962274
9957485;9,957485
9911995;9,911995
9876082;9,876082
9847352;9,847352
997185;0,997185
9861717;9,861717
985214;0,985214
9864111;9,864111
9861717;9,861717
9832987;9,832987
992636;0,992636
9883265;9,883265
9933543;9,933543
9859323;9,859323
992636;0,992636
9900024;9,900024
9859323;9,859323
9885659;9,885659
9885659;9,885659
9835381;9,835381
9868899;9,868899
9878476;9,878476
9876082;9,876082
992636;0,992636
9866506;9,866506
985214;0,985214
9976639;9,976639
989763;0,989763
9861717;9,861717
9955091;9,955091
9854534;9,854534
9847352;9,847352
9902418;9,902418
9916783;9,916783
9892841;9,892841
997185;0,997185
9904813;9,904813
9878476;9,878476
9816227;9,816227
985214;0,985214
9919178;9,919178
9947908;9,947908
9873688;9,873688
9849746;9,849746
9598354;9,598354
1027352;1,027352
9416395;9,416395
9519346;9,519346
8626308;8,626308
1188721;1,188721
9437943;9,437943
8978256;8,978256
9138668;9,138668
1055843;1,055843
9931149;9,931149
1007001;1,007001
9186552;9,186552
100772;0,100772
9119514;9,119514
9945514;9,945514
1025916;1,025916
9346964;9,346964
9773131;9,773131
144107;0,144107
1380497;1,380497
-4577713;-4,577713
6121974;6,121974
1211227;1,211227
862152;0,862152
901417;0,901417
8200141;8,200141
8437167;8,437167
8475474;8,475474
8829816;8,829816
8346188;8,346188
9337387;9,337387
9150639;9,150639
9263166;9,263166
9088389;9,088389
1033816;1,033816
1056082;1,056082
1084334;1,084334
141641;0,141641
1263181;1,263181
1291672;1,291672
1155681;1,155681
1196862;1,196862
1119529;1,119529
1190397;1,190397
1167652;1,167652
1140119;1,140119
1094629;1,094629
1111628;1,111628
1111867;1,111867
1098939;1,098939
1096066;1,096066
1075715;1,075715
9792285;9,792285
8542512;8,542512
1183693;1,183693
9672575;9,672575
1253604;1,253604
2837129;2,837129
1564132;1,564132
1074039;1,074039
980665;0,980665
9411607;9,411607
9931149;9,931149
9457097;9,457097
9277532;9,277532
9229648;9,229648
9114726;9,114726
9313444;9,313444
9196129;9,196129
8954314;8,954314
923683;0,923683
9045294;9,045294
9313444;9,313444
9227253;9,227253
9050082;9,050082
9200917;9,200917
907163;0,907163
9485827;9,485827
9064447;9,064447
841083;0,841083
9153033;9,153033
8935161;8,935161
8947132;8,947132
1018493;1,018493
7189788;7,189788
4941632;4,941632
2396596;2,396596
1051773;1,051773
8106767;8,106767
8403648;8,403648
9428367;9,428367
1090798;1,090798
1272039;1,272039
1145625;1,145625
7747637;7,747637
1442985;1,442985
9284714;9,284714
1058955;1,058955
9440337;9,440337
1014423;1,014423
9306262;9,306262
967018;0,967018
9595961;9,595961
9380483;9,380483
9471462;9,471462
9466674;9,466674
9325416;9,325416
9184157;9,184157
9203311;9,203311
9143456;9,143456
9188946;9,188946
9296685;9,296685
9229648;9,229648
9234436;9,234436
8990228;8,990228
9212888;9,212888
1034056;1,034056
7503428;7,503428
101993;0,101993
8585608;8,585608
-1018733;-1,018733
9816227;9,816227
115616;0,115616
6940791;6,940791
8568848;8,568848
9691729;9,691729
1149696;1,149696
1102291;1,102291
1245464;1,245464
1281616;1,281616
170946;0,170946
1284489;1,284489
1411382;1,411382
12718;0,012718
1244506;1,244506
1126951;1,126951
1174595;1,174595
1108755;1,108755
1115937;1,115937
1071405;1,071405
9818622;9,818622
1574906;1,574906
6607996;6,607996
1007241;1,007241
8094796;8,094796
973243;0,973243
1004368;1,004368
8566454;8,566454
1035732;1,035732
9313444;9,313444
9344569;9,344569
941879;0,941879
9323022;9,323022
9346964;9,346964
9356541;9,356541
9476251;9,476251
9342175;9,342175
9301474;9,301474
9215282;9,215282
9030929;9,030929
9102755;9,102755
9160215;9,160215
8717288;8,717288
949301;0,949301
9763555;9,763555
9277532;9,277532
1199256;1,199256
1181778;1,181778
5707777;5,707777
8532935;8,532935
7850587;7,850587
9232041;9,232041
8329428;8,329428
8853758;8,853758
9524135;9,524135
9370906;9,370906
1008438;1,008438
1105163;1,105163
1204283;1,204283
196127;0,196127
1298136;1,298136
1276828;1,276828
1222719;1,222719
1182736;1,182736
1125275;1,125275
112719;0,112719
1103488;1,103488
1103966;1,103966
1099417;1,099417
1122162;1,122162
1084813;1,084813
1012508;1,012508
9607931;9,607931
928232;0,928232
9186552;9,186552
9421184;9,421184
9057265;9,057265
9105149;9,105149
9277532;9,277532
9346964;9,346964
1001734;1,001734
9665392;9,665392
2111686;2,111686
8018182;8,018182
8475474;8,475474
9469068;9,469068
8327033;8,327033
1049857;1,049857
9679757;9,679757
1036689;1,036689
1153526;1,153526
1209311;1,209311
121817;0,121817
1269406;1,269406
1042196;1,042196
1240436;1,240436
122224;0,122224
1176032;1,176032
115616;0,115616
1159273;1,159273
1132936;1,132936
1130542;1,130542
1133894;1,133894
1005086;1,005086
1041957;1,041957
1335965;1,335965
7781156;7,781156
1557668;1,557668
1321839;1,321839
6586449;6,586449
9825804;9,825804
8257602;8,257602
9229648;9,229648
9306262;9,306262
9653421;9,653421
9263166;9,263166
93733;0,093733
9244013;9,244013
9514558;9,514558
9677363;9,677363
944752;0,944752
9540894;9,540894
9370906;9,370906
9289502;9,289502
9512163;9,512163
9210494;9,210494
9445126;9,445126
944752;0,944752
7575254;7,575254
9181764;9,181764
9696517;9,696517
1090559;1,090559
1104206;1,104206
7129933;7,129933
6694188;6,694188
7872135;7,872135
6888118;6,888118
7314286;7,314286
7742848;7,742848
1384806;1,384806
1182975;1,182975
1302206;1,302206
1886631;1,886631
196127;0,196127
1211945;1,211945
1269645;1,269645
1157596;1,157596
1144189;1,144189
1118571;1,118571
1100375;1,100375
1130542;1,130542
1097502;1,097502
1087207;1,087207
9576807;9,576807
1432451;1,432451
1277067;1,277067
911712;0,911712
4022259;4,022259
7682993;7,682993
1424311;1,424311
8221688;8,221688
1068772;1,068772
9303867;9,303867
9442732;9,442732
9466674;9,466674
9404425;9,404425
9639056;9,639056
9555259;9,555259
961272;0,961272
9435549;9,435549
9414001;9,414001
9334992;9,334992
9325416;9,325416
1237084;1,237084
1254083;1,254083
1280419;1,280419
104459;0,104459
1352485;1,352485
109415;0,109415
1197101;1,197101
1122881;1,122881
1133654;1,133654
1130542;1,130542
1129824;1,129824
1121205;1,121205
1088165;1,088165
5499481;5,499481
8130709;8,130709
9967062;9,967062
8836999;8,836999
7271191;7,271191
1439155;1,439155
8475474;8,475474
1067814;1,067814
9351752;9,351752
9495404;9,495404
9888053;9,888053
9615114;9,615114
9457097;9,457097
9634268;9,634268
9543288;9,543288
9574412;9,574412
9466674;9,466674
9344569;9,344569
9263166;9,263166
9433155;9,433155
9457097;9,457097
9291897;9,291897
9097966;9,097966
9296685;9,296685
9378088;9,378088
9919178;9,919178
9557653;9,557653
9607931;9,607931
1547373;1,547373
1065659;1,065659
6368577;6,368577
1062547;1,062547
7108385;7,108385
9203311;9,203311
8686164;8,686164
9380483;9,380483
1158075;1,158075
1239478;1,239478
1085531;1,085531
1338838;1,338838
129646;0,129646
1251689;1,251689
1205002;1,205002
1159751;1,159751
1151611;1,151611
1117374;1,117374
1082658;1,082658
1097981;1,097981
106949;0,106949
104483;0,104483
1144907;1,144907
103645;0,103645
9591172;9,591172
1076672;1,076672
9727641;9,727641
1189679;1,189679
1418086;1,418086
7149086;7,149086
1093432;1,093432
9837775;9,837775
1007001;1,007001
941879;0,941879
943076;0,943076
9258378;9,258378
9442732;9,442732
9150639;9,150639
9165004;9,165004
911712;0,911712
9198523;9,198523
9193734;9,193734
9160215;9,160215
9416395;9,416395
1002213;1,002213
9054871;9,054871
9397242;9,397242
9131485;9,131485
1408509;1,408509
1277786;1,277786
-1623269;-1,623269
1220085;1,220085
6868965;6,868965
9102755;9,102755
9502586;9,502586
1034295;1,034295
1115698;1,115698
185383;0,185383
1260547;1,260547
1439155;1,439155
748188;0,748188
1124078;1,124078
9557653;9,557653
9720459;9,720459
9627085;9,627085
9378088;9,378088
9490616;9,490616
9562442;9,562442
9533711;9,533711
9239224;9,239224
9366117;9,366117
9229648;9,229648
9112331;9,112331
9136273;9,136273
9085996;9,085996
928232;0,928232
9059659;9,059659
8808268;8,808268
9414001;9,414001
8822633;8,822633
9454702;9,454702
1116177;1,116177
1042914;1,042914
-1460463;-1,460463
6459556;6,459556
1005086;1,005086
9208099;9,208099
9368511;9,368511
196127;0,196127
1204523;1,204523
1380018;1,380018
1346978;1,346978
1270124;1,270124
119351;0,119351
1111628;1,111628
1242112;1,242112
1121683;1,121683
1090798;1,090798
1131021;1,131021
1096784;1,096784
1055125;1,055125
1453041;1,453041
766384;0,766384
1225592;1,225592
1020888;1,020888
1141795;1,141795
7156269;7,156269
9583989;9,583989
1271321;1,271321
7984663;7,984663
1087925;1,087925
943076;0,943076
9765948;9,765948
9299079;9,299079
9703699;9,703699
9392453;9,392453
9507375;9,507375
9380483;9,380483
9459491;9,459491
9349358;9,349358
9325416;9,325416
9222465;9,222465
9181764;9,181764
9239224;9,239224
943076;0,943076
9423578;9,423578
9291897;9,291897
9064447;9,064447
9579201;9,579201
85473;0,085473
7817069;7,817069
1837071;1,837071
-3454833;-3,454833
571496;0,571496
1025676;1,025676
1095587;1,095587
1093432;1,093432
1031422;1,031422
1242351;1,242351
1281616;1,281616
1256716;1,256716
1266293;1,266293
859279;0,859279
1147062;1,147062
1100136;1,100136
1111867;1,111867
1086968;1,086968
1069729;1,069729
1111867;1,111867
1076912;1,076912
1166934;1,166934
129263;0,129263
8130709;8,130709
1451604;1,451604
8145074;8,145074
1127669;1,127669
7335834;7,335834
1166934;1,166934
1408748;1,408748
9294291;9,294291
9919178;9,919178
8722076;8,722076
9691729;9,691729
9303867;9,303867
1246182;1,246182
-2355895;-2,355895
1227747;1,227747
4941632;4,941632
9083601;9,083601
1188003;1,188003
108577;0,108577
177554;0,177554
1202608;1,202608
1358231;1,358231
1310586;1,310586
1312023;1,312023
1150174;1,150174
1112107;1,112107
1064462;1,064462
1107558;1,107558
1076672;1,076672
1076912;1,076912
1119529;1,119529
1021606;1,021606
1893814;1,893814
8822633;8,822633
1023282;1,023282
9512163;9,512163
1099417;1,099417
9809045;9,809045
749864;0,749864
1260068;1,260068
1414494;1,414494
8135497;8,135497
1103009;1,103009
9516952;9,516952
9356541;9,356541
9545682;9,545682
9677363;9,677363
9631873;9,631873
952174;0,952174
9428367;9,428367
9308656;9,308656
9289502;9,289502
9291897;9,291897
9363723;9,363723
9229648;9,229648
9176975;9,176975
9167398;9,167398
9105149;9,105149
8655039;8,655039
9009381;9,009381
9258378;9,258378
124307;0,124307
1480335;1,480335
-1244745;-1,244745
1580892;1,580892
8348581;8,348581
9188946;9,188946
9107543;9,107543
976116;0,976116
1121444;1,121444
1087207;1,087207
1273237;1,273237
1288081;1,288081
1240436;1,240436
1223437;1,223437
1171483;1,171483
1122402;1,122402
110684;0,110684
1108515;1,108515
1082179;1,082179
1113304;1,113304
108577;0,108577
9828198;9,828198
1145865;1,145865
9981427;9,981427
1005565;1,005565
106925;0,106925
6708553;6,708553
1211706;1,211706
1157836;1,157836
8805874;8,805874
1032619;1,032619
9871294;9,871294
982341;0,982341
9411607;9,411607
9883265;9,883265
9399636;9,399636
9595961;9,595961
9457097;9,457097
9301474;9,301474
9390059;9,390059
9179369;9,179369
9270349;9,270349
93733;0,093733
9339781;9,339781
925359;0,925359
9291897;9,291897
119351;0,119351
1166934;1,166934
1133894;1,133894
110253;0,110253
1089601;1,089601
1090559;1,090559
1092235;1,092235
1059913;1,059913
1128627;1,128627
1000537;1,000537
9004593;9,004593
1194467;1,194467
9548077;9,548077
1047224;1,047224
8224083;8,224083
1267012;1,267012
1373793;1,373793
83821;0,083821
1179384;1,179384
9217676;9,217676
9023746;9,023746
9674969;9,674969
9598354;9,598354
9548077;9,548077
9404425;9,404425
9354146;9,354146
9193734;9,193734
9212888;9,212888
9258378;9,258378
9315839;9,315839
9411607;9,411607
9416395;9,416395
9368511;9,368511
9239224;9,239224
9543288;9,543288
932781;0,932781
9387665;9,387665
1043633;1,043633
1509305;1,509305
1558865;1,558865
-3160346;-3,160346
679235;0,679235
8066066;8,066066
8178593;8,178593
101586;0,101586
1031662;1,031662
196127;0,196127
1235887;1,235887
139965;0,139965
1288799;1,288799
1225113;1,225113
115209;0,115209
1117374;1,117374
1116177;1,116177
1111149;1,111149
1093911;1,093911
1099896;1,099896
1068053;1,068053
9382876;9,382876
9392453;9,392453
1329979;1,329979
9691729;9,691729
7975086;7,975086
1134133;1,134133
1590229;1,590229
7589619;7,589619
1097981;1,097981
9315839;9,315839
9536105;9,536105
9287108;9,287108
9591172;9,591172
9315839;9,315839
9533711;9,533711
9378088;9,378088
9325416;9,325416
9184157;9,184157
9490616;9,490616
9349358;9,349358
941879;0,941879
9272743;9,272743
955047;0,955047
9121908;9,121908
9064447;9,064447
9337387;9,337387
8054094;8,054094
8892065;8,892065
9033323;9,033323
1223437;1,223437
1188003;1,188003
-3622427;-3,622427
8274361;8,274361
1046027;1,046027
1022803;1,022803
1329261;1,329261
1130063;1,130063
1276349;1,276349
1251449;1,251449
1363498;1,363498
1262223;1,262223
